source,type,target,confidence,evidence
WorldFish,uses,Kobo Collect,extracted,Data collection was done using Kobotoolbox and structured questionnaires
site-specific fertilizer advisory,targets,smallholder farmers,extracted,These sessions targeted smallholder farmers and included piloting and scaling of the advisory tool
site-specific fertilizer advisory,produces,teff,extracted,"The site-specific fertilizer advisory tool was developed to provide farmers with precise, landscape-driven nutrient management recommendations to produce teff, wheat, sorghum, and maize"
site-specific fertilizer advisory,produces,wheat,extracted,"recommendations to produce teff, wheat, sorghum, and maize"
site-specific fertilizer advisory,produces,sorghum,extracted,"recommendations to produce teff, wheat, sorghum, and maize"
site-specific fertilizer advisory,produces,maize,extracted,"recommendations to produce teff, wheat, sorghum, and maize"
ICRISAT,located_in,Ethiopia,extracted,Field events and training sessions were organized collaboratively by ICRISAT (36%) and the Ministry of Agriculture
policy alignment,located_in,Zambia,extracted,This report presents a comprehensive inventory and analysis of national policies and institutional programs in Zambia
MyFarmTrees,located_in,Malaysia,extracted,"In 2025, a country module of the platform for Malaysia was developed"
MyFarmTrees,uses,forest restoration,extracted,MyFarmTrees is a digital platform for monitoring and incentivising tropical forest restoration
capacity building,located_in,Colombia,extracted,The Fertilize Right project implemented a capacity development plan targeting key actors across the fertilizer value chain
African Development Bank,collaborates_with,Global Center on Adaptation,extracted,"The Global Center on Adaptation (GCA), in partnership with the African Development Bank (AfDB)"
value chain development,located_in,Mozambique,extracted,inform the design of the Inclusive Agri-Food Value Chain Development Program (PROCAVA)
University of the Philippines Los Baños,uses,MyFarmTrees,extracted,A half-day training workshop on the MyFarmTrees (MFT) digital platform was conducted at the University of the Philippines Los Baños
anti-methanogenic screening,uses,metabolomic analysis,extracted,"Complementary untargeted LC-MS metabolomic analyses detected over 12,000 spectral features"
metabolomic analysis,uses,iOMICAS-PiMoP,extracted,The development of an AI-based annotation pipeline (iOMICAS-PiMoP) significantly accelerated metabolite identification
heterotic pattern integration,uses,purple corn,extracted,Los resultados de CSE muestran avances positivos en la integración del patrón heterótico de maíz morado B-49N x B-41N
anthocyanin content evaluation,uses,purple corn,extracted,En siete cruzas se evaluó el contenido de antocianinas total en grano (CATg) y olote (CATo)
scaling for impact,addresses,agricultural innovation systems,extracted,"created collaborative space for researchers, policymakers, and development partners to reflect on how agricultural innovations can achieve broader impact"
scaling for impact,located_in,Africa,extracted,The Scaling for Impact (S4I) Dialogue in Africa
reproductive biotechnology,targets,sheep,extracted,development and deployment of clean reproductive technologies for sheep and goats
reproductive biotechnology,targets,goats,extracted,development and deployment of clean reproductive technologies for sheep and goats
system dynamics modeling,targets,olive,extracted,System Dynamics Modelling of Olive Supply Chain
system dynamics modeling,produces,socio-ecological gains,extracted,makes three core outcomes central to analysis: socio-ecological gains
silvopastoral systems,uses,Hedysarum coronarium,extracted,reseeding adapted forage legumes—particularly Sulla (Hedysarum coronarium)
silvopastoral systems,located_in,Tunisia,extracted,silvopastoral restoration initiative at the Chahda site in Zaghouan Governorate
Opuntia ficus-indica,located_in,Kutch,extracted,"sustainable cultivation of Opuntia ficus-indica in Kutch, India"
community seed banks,located_in,Western Kenya,extracted,community seed banks in western Kenya
community seed banks,produces,agrobiodiversity conservation,extracted,"conserve agrobiodiversity, enhance climate resilience"
ICARDA,collaborates_with,Direction Générale des Forêts,extracted,"ICARDA, the Direction Générale des Forêts (DGF)...collaborated"
KALRO,collaborates_with,Alliance of Bioversity International and CIAT,extracted,"Alliance- Bioversity International & CIAT, the Kenya Agricultural and Livestock Research Organization (KALRO)"
target population of environments,uses,common bean,extracted,Characterization of Target Population of Environments (TPEs)...to Support Common Bean Product Development
product design teams,targets,common bean,extracted,Product Design Team (PDT) meetings focused on market segmentation
CIMMYT,collaborates_with,IITA,extracted,CIMMYT and IITA developed the first standardized costing tool
breeding cost analysis,targets,plant breeders,extracted,help breeding programs in Africa budget and allocate resources effectively
discrete choice experiments,located_in,Uganda,extracted,analysis of Customer preference and demand for reduced cooking time bean varieties on the Ugandan markets
climate impact projections,targets,maize,extracted,project the climate change impact on water-limited potential yield of maize
climate impact projections,located_in,Sub-Saharan Africa,extracted,projecting climate change impacts on crops in data-limited environments
Adaptation Atlas,uses,climate impact projections,extracted,analyzes projected climate impacts on major crops across Africa
CropSuiteLite,uses,crop suitability modeling,extracted,optimized Python implementation of the crop suitability modeling framework
national adaptation plans,uses,Alliance of Bioversity International and CIAT,extracted,tools and data platforms developed by The Alliance that could be used to enhance NAPs
multifunctional landscapes,located_in,Medjerda Valley,extracted,Multifunctional Agro‑Silvo‑Pastoral Living Landscape in the Mediterranean Medjerda Valley
gender equality and social inclusion,targets,smallholder farmers,inferred,help agribusinesses integrate Gender Equality and Social Inclusion into their core strategies
climate-smart agriculture,located_in,Tunisia,extracted,Comprehensive Inventory and Strategic Analysis of Tunisian Policies...for Scaling Climate-Resilient Agriculture
machine learning integration,uses,crop suitability modeling,extracted,integrate ML with a process-based crop model to produce geographically continuous gridded crop yield projections
climate risk assessment,uses,CMIP6,extracted,dataset covers 4 Shared Socioeconomic Pathways based on 18 global climate models
heat stress analysis,targets,smallholder farmer,inferred,analyzes how rising temperatures will affect agricultural producers
Alliance of Bioversity International and CIAT,collaborates_with,PABRA,extracted,advanced common bean varieties distributed through PABRA network
business incubation,targets,youth entrepreneur,extracted,project aims to accelerate youth-owned businesses
Green Legacy Initiative,located_in,Ethiopia,extracted,Ethiopia's Green Legacy Initiative aims to reverse land degradation
common bean,related_to,anthracnose,extracted,screening diverse varieties against multiple disease strains
common bean,related_to,angular leaf spot,extracted,materials undergoing screening for resistance to angular leaf spot
multi-location testing,uses,Breeding Management System,extracted,trials were designed in the Breeding Management System using partially replicated design
data fusion,uses,LiDAR,extracted,evaluates fusion approaches combining LiDAR percentiles with optical vegetation indices
climate adaptation planning,addresses,climate risk assessment,inferred,supports planning for heat-resilient farming systems and adaptation investments
PABRA,part_of,ECABREN,extracted,East and Central Africa Bean Research Network within PABRA
Urochloa,produces,methane mitigation,extracted,elite breeding lines under evaluation for potential to mitigate methane emissions
Megathyrsus maximus,is_a,organism,extracted,"guinea grass, one of three main grass species targeted"
vulnerability assessment,uses,climate risk assessment,extracted,integrates climate hazards with social and economic conditions
carbon sequestration,related_to,Kenya,extracted,soil data collected in western Kenya to compare carbon sequestration potential
post-harvest technology,addresses,Tanzania,extracted,assessment of existing drying and cooling technologies in Tanzania
post-harvest technology,addresses,Kenya,extracted,assessment visit to stakeholders in coastal fisheries in Kenya
integrated multitrophic aquaculture,uses,IMTA Invest,extracted,manual describes development of IMTA Invest decision support tool
value chain governance,located_in,Benin,extracted,"study explored governance arrangements in Cotonou, Benin"
target product profiling,uses,plant breeder,extracted,national programs presenting updates and consolidating market segments into harmonized framework
digital seed inventory management,uses,Breeding Management System,extracted,Inventory management training using the Breeding Management System (BMS)
Tanzania Agricultural Research Institute,located_in,Tanzania,extracted,teams from the Tanzania Agricultural Research Institute (TARI)
Alliance of Bioversity and CIAT,located_in,Uganda,extracted,"Alliance of Bioversity and CIAT, Uganda"
capacity building,targets,plant breeders,inferred,training delivered to common bean breeding teams
breeding data management,uses,Breeding Management System,extracted,Pan-Africa Bean Research Alliance (PABRA) network relies on the Breeding Management System (BMS) to manage breeding data
Pan African Bean Research Alliance,collaborates_with,Alliance of Bioversity and CIAT,extracted,"capacity building effort, supported by the Alliance of Bioversity and CIAT"
RiceAdvice,produces,site-specific fertilizer recommendations,extracted,"site-specific fertilizer practices (amount, time, and mode of application)"
RiceAdvice,targets,smallholder farmers,extracted,generate recommendations for sustainable rice cultivation to at least 2500 rice farmers
climate-smart agriculture,addresses,climate change adaptation,inferred,CSA technologies and practices in the major rice-based systems
participatory diagnosis,uses,multi-stakeholder platforms,inferred,Stakeholder consultation workshops were organized
AfricaRice,collaborates_with,Syngenta Foundation,extracted,"85,000 farmers including 35% women were supported by AfricaRice and the national partners (Syngenta Foundation"
alternate wetting and drying,addresses,water scarcity,inferred,rice production with reduced water use
smart valleys approach,addresses,drought,extracted,water control to mitigate the effects of drought and flooding
integrated rice-fish farming,addresses,soil fertility,extracted,address the issue of low soil fertility
multispectral image analysis,uses,machine learning classification,extracted,multispectral imaging combined with machine learning
AfricaRice Genebank,uses,Videometer multispectral imaging system,extracted,integrated into the Videometer multispectral imaging system
machine learning classification,uses,Random Forest classifier,extracted,Random Forest (RF) classifier
Oryza glaberrima,is_a,rice,extracted,O. glaberrima accessions
Oryza sativa,is_a,rice,extracted,O. sativa accessions
Seed Development and Certification Agency,located_in,Liberia,extracted,Seed Development and Certification Agency (SDCA) in Liberia
seed certification,addresses,quality control,inferred,"structured, legally backed framework for seed development, certification, and quality assurance"
kitchen gardening,targets,women farmers,extracted,Rural women and youth trained in kitchen gardening
kitchen gardening,targets,youth,extracted,Rural women and youth trained in kitchen gardening
Balochistan,located_in,Pakistan,inferred,"Training sessions across Loralai, Kharan, Naal, Quetta, and Sibi"
early generation seed production,produces,climate-resilient varieties,inferred,"early generation seeds of rice, cassava and soybean produced by private sector actors"
CGIAR,produces,climate-resilient varieties,extracted,climate-resilient varieties developed by CGIAR
mechanized agriculture services,targets,smallholder farmers,extracted,"delivering mechanized services to over 18,000 farmers"
Center for Mechanized Agriculture,uses,mechanized agriculture services,inferred,scaled up the CEMA business model
gem parboiling technique,targets,women farmers,extracted,helps women processors in Mali produce rice
climate information services,targets,smallholder farmers,inferred,"Enhanced access to climate-smart agriculture and climate information services by 85,000 farmers"
Mali-Meteo,part_of,climate services,extracted,"building the capacity of CNSC members, including MALI-METEO, to support climate services"
RiceAdvice,produces,site-specific recommendations,extracted,"generates site-specific crop calendars, variety selection, and fertilizer recommendations"
service providers,uses,RiceAdvice,extracted,99 service providers were taught the RiceAdvice digital tool
smart-valleys approach,targets,smallholder farmers,extracted,"support over 1,000 farmers in adopting Smart-Valleys"
climate-smart agriculture,addresses,climate change,extracted,enhance capacity in climate-smart agriculture and climate information services
alternate wetting and drying,produces,water-efficient practices,extracted,safe alternate wetting and drying irrigation method for rice cultivation with less water use
GEM parboiler,targets,women farmers,extracted,260 women from six rice parboiling organizations were trained on GEM technology
Inland Valley Suitability tool,uses,site-specific recommendations,inferred,"analyzes land, water, and environmental conditions to show where rice-fish systems can thrive"
drought-tolerant rice varieties,addresses,climate change,extracted,help farmers cope with water scarcity and changing climate conditions
mechanical weeders,targets,women farmers,extracted,"primarily benefits smallholder rice farmers, especially women"
ENACTS,collaborates_with,IRI,extracted,IRI provided Mali-Météo with extensive technical support to enhance ENACTS datasets
solar-powered irrigation system,uses,pay-as-you-go system,extracted,farmers to pay for solar irrigation systems in installments
saving for change,targets,women farmers,extracted,"15,100 women participated by pooling savings, accessing loans"
Water Resilience Tracker,located_in,Nepal,extracted,Water Resilience Tracker supported activities trained stakeholders in Nepal
AcceLER project,addresses,methane mitigation,extracted,marked the launch of IRRI's AcceLER project for accelerating methane-reducing rice practices
Rice GAPfinder,uses,monitoring reporting and verification,inferred,tracks farmers' progress using 12 performance indicators
multi-stakeholder platforms,part_of,climate-smart agriculture,extracted,"training on climate change, climate-smart agriculture, and multi-stakeholder platforms"
aquifer recharge zone mapping,addresses,water-efficient practices,inferred,identify and map aquifer recharge zones in water-stressed regions
IRRI,located_in,Southeast Asia,extracted,regional workshop organized by IRRI in Southeast Asia's rice sector
olive cultivars,located_in,Balochistan,extracted,assess olive varieties suited to different ecological zones of Balochistan
integrated pest management,addresses,crop protection,extracted,promoted reduced reliance on chemical pesticides and improved crop health
integrated rice-fish system,produces,climate resilience,extracted,provides multiple benefits including improved soil fertility and pest control
integrated rice-fish system,targets,smallholder farmers,extracted,"primarily benefits smallholder rice farmers, including women and vulnerable households"
fish,part_of,integrated rice-fish system,extracted,fish and rice are produced on the same field
rice,part_of,integrated rice-fish system,extracted,fish and rice are produced on the same field
stakeholder training,addresses,capacity building,extracted,"training supported refugees, women, and persons with disabilities"
climate risk information,uses,livelihood decisions,extracted,apply risk information in household and community action planning
IWMI,produces,water-efficient agriculture,extracted,trials generated practical evidence on scalable technologies
Digital Twin,uses,basin management,extracted,trained participants on Digital Twin interface for water management decisions
iron-coated seed technology,addresses,methane mitigation,extracted,showcased improved crop establishment and methane reduction potential
IRRI,collaborates_with,Thailand Rice Department,extracted,IRRI Thailand held a follow-up meeting with Thailand's Rice Department
direct-seeded rice,part_of,climate-smart agriculture,extracted,scaling Direct Seeded Rice mechanization for climate-smart approaches
soil spectroscopy,produces,rapid soil assessment,extracted,"promoting rapid, non-destructive assessment of soil properties"
Bureau of Soils and Water Management,collaborates_with,IRRI,extracted,joint collaboration of BSWM and IRRI
greenhouse gas measurement,uses,gas chromatography,extracted,laboratory analysis using gas chromatography
MyFarmTrees platform,addresses,forest landscape restoration,extracted,links demand and supply of native tree seed for restoration
cropping system diversification,located_in,Odisha,extracted,"conducted in rice-fallow systems of Odisha, India"
pulse crops,part_of,rice-fallow intensification,extracted,short duration rice crop was followed by pulse crops
skim-sequencing,uses,cloud-based bioinformatics pipeline,extracted,"pipeline for mapping, variant calling and imputation of skim-sequencing data"
genome editing,uses,Fulcrum CRISPR platform,extracted,Pairwise has licensed its Fulcrum CRISPR gene-editing platform to IRRI
Pairwise,collaborates_with,IRRI,extracted,Pairwise has licensed its platform to IRRI
monitoring reporting verification,addresses,climate mitigation,extracted,building robust MRV system for Thailand's rice sector
Kasetsart University,located_in,Thailand,extracted,hands-on greenhouse gas sampling activity at Kasetsart University
extension agents,uses,integrated pest management,inferred,farmers and extension stakeholders received practical guidance
drip irrigation,part_of,water-efficient agriculture,inferred,trained on drip irrigation and water productivity
biochar application,addresses,climate change mitigation,extracted,biochar application can significantly reduce greenhouse gas emissions
water-saving irrigation,addresses,climate change mitigation,extracted,water-saving irrigation can significantly reduce greenhouse gas emissions
mechanical transplanters,targets,smallholder farmers,extracted,"primarily benefits smallholder rice farmers, especially women"
mechanical transplanters,located_in,Mali,extracted,support sustainable and resilient rice production in Mali
climate risk mapping,produces,hazard maps,extracted,"Four hazard maps flash flood, heatwave, drought, and frost were developed"
IITA,collaborates_with,Global Stewardship Group,extracted,IITA–CGIAR has formally joined the Plant Breeding Innovation Management Program
genome editing,uses,CRISPR/Cas9,extracted,modern biotechnologies such as genome editing
RIICE,uses,satellite monitoring,extracted,uses satellite imagery and data analysis to track rice-growing areas
RIICE,targets,rice,extracted,monitoring system for rice-growing areas
drought tolerant varieties,addresses,climate change mitigation,inferred,bred to survive extreme weather conditions
MyFarmTrees,located_in,ASEAN,extracted,MyFarmTrees platform for key stakeholders in various ASEAN countries
digital twin technology,located_in,Limpopo River Basin,extracted,Following the successful Limpopo implementation
capacity building,located_in,Kenya,extracted,"trained 2,283 participants in Ugenya Sub-County, Siaya County, Kenya"
CRISPR/Cas9,targets,stem rust,extracted,knockout using CRISPR/Cas9 resulted in wheat lines with enhanced resistance to leaf and stem rust
CRISPR/Cas9,targets,leaf rust,extracted,knockout using CRISPR/Cas9 resulted in wheat lines with enhanced resistance to leaf and stem rust
wheat,targets,Puccinia striiformis,extracted,wheat lines resistant to Puccinia striiformis are being developed
greenhouse gas measurement,uses,LI-COR Trace Gas Analyzers,extracted,hands‑on introduction to laser‑based LI‑COR Trace Gas Analyzers
IRRI,collaborates_with,GISTDA,extracted,"IRRI, in partnership with Thailand's GISTDA"
greenhouse gas measurement,located_in,Thailand,extracted,measuring greenhouse gas emissions in rice production in Thailand
technology packs,targets,smallholder farmers,inferred,Farmers exposed to technologies received small seed packs for own-farm testing
technology packs,located_in,DRC,extracted,distribution of technology packs in DRC
participatory framework,addresses,climate-smart agriculture,extracted,prioritizing investment in CSA and CIS
climate-smart agriculture,located_in,Malawi,extracted,improve smallholder agri-food systems in Malawi
agroforestry,part_of,climate-smart agriculture,extracted,agroforestry based farming systems
technology packs,located_in,Burundi,extracted,distribution of technology packs in Burundi
composting,located_in,Red River Delta,extracted,rice straw composting model in the Red River Delta
pest management,targets,kitchen gardens,inferred,identify beneficial and harmful insects affecting household crops
AKILIMO,targets,smallholder farmers,extracted,improve agricultural practices by the smallholders farmers
quantitative trait locus mapping,targets,rice,extracted,QTLs identified across Oryza sativa genomic diversity
integrated soil fertility management,located_in,Nigeria,extracted,Training on soil restoration and ISFM in Northern Nigeria
climate-smart agriculture,located_in,Thailand,extracted,advance climate‑smart rice farming in Thailand
digital twin technology,addresses,water security,extracted,support regional water security planning
stewardship,addresses,genome editing,extracted,PBI-management for genome-editing activities
prime editing,targets,TaSTP13,extracted,Prime-edited wheat lines targeting the gene TaSTP13
wheat,related_to,rust resistance,extracted,wheat lines were developed to enhance resistance to stem and leaf rust
Puccinia striiformis,targets,wheat,extracted,T2 generation is being grown to assess resistance to the pathogen Puccinia striiformis
IRRI,located_in,Thailand,extracted,"workshop in Bangkok, Thailand organized by IRRI"
genome editing,uses,CGIAR,extracted,genome editing technologies deployed across CGIAR centers
MyFarmTrees platform,uses,smallholder farmers,extracted,training of farmers on the use of the mobile application
black soldier fly farming,targets,smallholder farmers,extracted,Smallholder farmers adopting black soldier fly farming
cassava production,located_in,Nigeria,extracted,"cassava production in Ogun, FCT and Oyo States"
training of trainers,uses,extension agents,extracted,trainings delivered by scaling partner agronomists trained through CGIAR-led ToTs
semi-autotrophic hydroponics,targets,cassava,extracted,rapid multiplication of cassava seeds using SAH technology
INSAB,located_in,Gabon,extracted,equipment acquisition by Institut National Supérieur d'Agronomie et de Biotechnologies
vegetable production,targets,tomatoes,extracted,priority horticultural crops such as tomatoes
climate-smart agriculture,uses,vegetable production,extracted,climate-smart and sustainable production practices
dairy production,targets,smallholder farmers,extracted,training targeted women and young farmers
Better Rice Initiative Cambodia,collaborates_with,IRRI,extracted,"Partners are GIZ, Olam Agri, CARD, Cambodia MAFF, EU and IRRI"
quality declared seed,produces,maize,extracted,production of Quality decleared Maize seed
agribusiness training,targets,smallholder farmers,extracted,training for young people and existing agribusiness entrepreneurs
semi-autotrophic hydroponics,located_in,Liberia,extracted,SAH technical training conducted in Liberia
seed roadmap development,located_in,Gabon,extracted,ministry officers trained on national seed roadmap in Gabon
aquaculture production,located_in,Nigeria,extracted,"aquaculture training in Kaduna, Kano, Jigawa, Lagos and Adamawa States"
feed formulation,part_of,aquaculture production,extracted,key focus of the training was feed formulation
leaf-bud cutting propagation,targets,yam,extracted,leaf-bud cutting methods for yam
integrated soil fertility management,targets,smallholder farmers,extracted,adoption of ISFM practices among smallholder farmers
integrated soil fertility management,located_in,Niger,extracted,smallholder farmers in Niger and Nigeria
RD-3064,is_a,barley,extracted,RD-3064 is a barley variety
malting quality breeding,produces,RD-3064,extracted,barley variety developed to deliver high grain yield while meeting quality requirements for malt
ICARDA,collaborates_with,CGIAR,inferred,collaborative research and breeding work under the ICARDA–ICAR partnership
training of trainers,located_in,Rwanda,extracted,Training of Trainers for lead farmers in Rwanda
Business Investment Decision platform,produces,CGIAR,extracted,tools were developed through the Seed Equal Initiatives Project of the CGIAR
cassava production,located_in,DRC,extracted,Training workshop on Cassava Processing Machines in DRC
Alliance for a Green Revolution in Africa,collaborates_with,International Institute of Tropical Agriculture,extracted,"production of Certified Soybean seed by Alliance for a Green Revolution in Africa, International Institute of Tropical Agriculture"
certified seed production,located_in,Mozambique,extracted,seed producing entities in Mozambique
prime editing,targets,rice blast,extracted,specific target gene associated with enhanced resistance to rice blast has been precisely edited
prime editing,uses,Faro66,extracted,"successfully established in African rice varieties (Faro66, Faro67, and Jasine 85)"
data digitization,uses,Musabase,extracted,training covered the fundamentals of Musabase
data digitization,uses,BTracT,extracted,hands-on training was conducted on the use of BTracT
quality management systems,targets,cassava,extracted,standardized cassava production
AKILIMO,targets,smallholder farmers,extracted,empowers farmers to make better farming decisions
target product profiles,targets,Bambara groundnut,extracted,defining priority market segments and refining target product profiles
HQCF,produces,wheat,extracted,use of HQCF as a substitute for wheat flour
waste-to-feed conversion,uses,cassava,extracted,utilize cassava processing by-products for livestock feed production
University of Liberia,collaborates_with,International Institute of Tropical Agriculture,extracted,facilitated by soil science and laboratory experts from the International Institute of Tropical Agriculture
zero tillage production,uses,rice,extracted,zero tillage potato production under rice straw mulch
zero tillage production,located_in,India,extracted,Smallholder farmers in India and Bangladesh introduced zero tillage
MyFarmTrees,located_in,Caribbean,extracted,Digital Tools for Transforming Agri-Food Systems in the Caribbean
Alliance of Bioversity International and CIAT,produces,MyFarmTrees,inferred,co-organized by the Alliance of Bioversity International and CIAT
technology transfer,collaborates_with,New Zealand,extracted,scientist was sent to New Zealand for cooperative exploration
market segmentation,targets,taro,extracted,apply market segmentation and Target Product Profile approaches for taro
certified seed production,targets,maize,extracted,Certified maize seed production was undertaken
BRIN,collaborates_with,International Institute of Tropical Agriculture,extracted,training between BRIN and IITA Scientists
macro-propagation techniques,produces,banana,inferred,propagation of disease-cleaned suckers
community-based extension agents,targets,smallholder farmers,inferred,Community-based Extension Agents backstopping GFCs
good agricultural practices,targets,maize,extracted,Good Agricultural Practices in the cultivation of crops such as maize
capacity building,targets,laboratory technicians,extracted,training aimed to strengthen laboratory capacity
stakeholder engagement,uses,CGIAR,extracted,Communication and stakeholder engagement strategy of CGIAR's Genome Editing Project
Healthy Food Connectors,provides,gender-responsive extension services,extracted,youth to provide gender-responsive EA services
technical assistance,targets,Agro-Processing GFCs,extracted,training and EA technical advice scaled out to women belonging to Agro-Processing GFCs
Agro-Processing GFCs,produces,OFSP,extracted,making and selling OFSP products
yacon,produces,fructooligosaccharides,extracted,Determination of FOS content
value chain specialists,uses,technical assistance,extracted,provide technical support and guidance
institutional nurseries,produces,apical rooted cuttings propagation,extracted,Apical Rooted Cuttings (ARCs) produced by institutional nurseries
ICRISAT,collaborates_with,Malawi Government,extracted,joint release by ICRISAT and the Malawi Government
groundnut,uses,climate-smart agriculture,extracted,climate-resilient groundnut variety
smallholder farmers,uses,demonstration plot training,extracted,smallholder farmers successfully participated in training measures on demonstration plots
International Potato Center,collaborates_with,FIFAMANOR,extracted,"International Potato Center, in partnership with FIFAMANOR"
multilocation trials,located_in,Madagascar,extracted,multilocation potato trials
potato,uses,quality seed production,extracted,quality seed production
cryobank,uses,cryopreservation,extracted,modern cryobank
Department of Agriculture,uses,capacity building,extracted,Building capacity of Department of Agriculture officials
cowpea,uses,early generation seed production,extracted,Production of Cowpea early generation seeds
Mozambique Institute of Agricultural Research,located_in,Mozambique,extracted,seed-producing entities in Mozambique
net houses,uses,early generation seed production,extracted,net houses for G0 seed production
lentil,uses,integrated pathogen screening,extracted,combining advanced pathogen screening with diverse lentil germplasm evaluation
disease resistance breeding,targets,Ethiopia,extracted,Ethiopian farmers gain access to improved varieties
DWRB244,is_a,barley,extracted,DWRB244 is a hulless barley variety
ICARDA,uses,disease resistance breeding,extracted,collaborative breeding efforts involving ICARDA
barley,located_in,India,extracted,for farmers in India
3R-gene,addresses,late blight,extracted,3R-gene late blight resistant
potato,located_in,Rwanda,extracted,farmer distribution in Rwanda
smallholder farmers,located_in,Cambodia,extracted,smallholder farmers in Cambodia and Peru
smallholder farmers,located_in,Peru,extracted,smallholder farmers in Cambodia and Peru
sustainable production practices,uses,mulch,extracted,sustainable potato production under mulch method
FIFAMANOR,collaborates_with,VKMMV,extracted,"FIFAMANOR, CIP, VKMMV"
pest and disease management,located_in,Madagascar,extracted,pest and disease management in Madagascar
morphological characterization,uses,potato,extracted,morphological description of farmer varieties documented
zero tillage cultivation,targets,smallholder farmers,extracted,women confirm improvement in rice-potato zero tillage cultivation system
mass awareness programs,produces,technology adoption,inferred,conducted to promote ARC technology and SFLF outreach
cryopreservation,uses,potato,extracted,potato accessions exclusively stored in cryopreservation
3R-gene,produces,late blight resistance,extracted,3R-gene technology for late blight resistant potato
3R-gene,located_in,Rwanda,extracted,approved for environmental release in Rwanda
genetic engineering,uses,potato,extracted,"Potato Genetic Engineering (Biotechnology, Regulatory, Stewardship, and Licensing)"
capacity development training,targets,plant breeders,inferred,strengthen Rwandan Partner Organizations in Potato Genetic Engineering
climate-smart agriculture,addresses,climate change adaptation,extracted,key climate adaptation strategies to help farmers curb climate threats
RiceAdvice app,targets,smallholder farmers,extracted,41596 used the RiceAdvice app
climate information services,located_in,Mali,extracted,"427,155 rice farmers received climate information services"
randomized controlled trial,uses,climate-smart agriculture,extracted,data collected using randomized controlled experimental design
Phytophthora infestans,produces,late blight disease,extracted,"Late blight, caused by Phytophthora infestans"
transcriptome analysis,uses,potato,extracted,transcriptome analysis of P. infestans inoculated potato
AICCRA,located_in,Mali,extracted,AICCRA project in Mali implemented participatory activities
Mali-Météo,collaborates_with,AICCRA,inferred,NFCS established under leadership of Mali-Météo with AICCRA support
direct seeded rice,produces,reduced greenhouse gas emissions,extracted,"DSR decreased CH4 emissions by 70%, GWP by 37%"
puddled transplanted rice,produces,higher greenhouse gas emissions,extracted,conventional rice production major contributor to GHGs emissions
meta-analysis,uses,direct seeded rice,extracted,meta-analysis synthesizing 876 paired measurements
LAMP assay,uses,cassava,extracted,LAMP assay for virus detection in cassava
LAMP assay,uses,sweetpotato,extracted,LAMP assay for virus detection in sweetpotato
KEPHIS,located_in,Kenya,extracted,KEPHIS (Kenya)
TOSCI,located_in,Tanzania,extracted,TOSCI (Tanzania)
MAAIF,located_in,Uganda,extracted,MAAIF (Uganda)
CIP,collaborates_with,KEPHIS,extracted,coordinated by International Potato Center
seed certification system,uses,virus indexing,extracted,integration into national seed certification systems
chromatin accessibility mapping,uses,potato,extracted,mapped whole genome of THSs in potato using ATAC-seq
comparative genomic analysis,uses,potato,extracted,comparative genomic analysis to reference genome of potato
OFSP,part_of,sweetpotato,inferred,OFSP-purée-based processed products
Société Malakass,uses,OFSP,extracted,develop OFSP purée using hot-fill technology
climate information services,uses,digital platforms,extracted,dissemination of geo-specific climate information services using digital platforms
AICCRA,targets,smallholder farmers,extracted,aimed to enhance climate resilience in rice-based farming systems
rice,located_in,Mali,extracted,rice-based farming systems through dissemination in Mali
RiceAdvice Lite,produces,location-specific recommendations,extracted,"delivers tailored recommendations on fertilizer type, rate, timing"
precision nitrogen management,addresses,nitrogen pollution,extracted,limiting nitrogen pollution from crop production
conservation agriculture,uses,direct-seeded rice,extracted,DSR followed by ZTW systems with drip fertigation
DNDC model,uses,crop simulation,extracted,DNDC crop simulation model to evaluate resilience
seed priming,addresses,disease development,extracted,combined impact of seed priming and seed treatment on disease development
phytophthora infestans,targets,potato,extracted,late blight caused by Phytophthora infestans
unmanned aerial vehicles,uses,herbicide application,extracted,efficiency of uncrewed aerial vehicles in weed management through herbicide application
alternative polyadenylation,related_to,salt stress,extracted,role of APA in response to salt stress
CIP,collaborates_with,NARO,extracted,organized by International Potato Center and NARO
MyFarmTrees,targets,smallholder farmers,extracted,close to 6000 farmers have participated in forest-landscape restoration
late blight resistance,addresses,yield losses,extracted,leading to yield losses of 13–60% and up to 75%
gene editing,uses,CRISPR/Cas,extracted,CRISPR/Cas system fundamentals and guide-RNA design
IITA,targets,African scientists,extracted,brought together early-career African scientists
collaborative crop improvement networks,located_in,Sub-Saharan Africa,extracted,facilitate collaborative crop improvement across Sub-Saharan Africa
rooted apical cuttings,produces,disease-free seed,extracted,rapid multiplication of disease-free seed potato
FIFAMANOR,located_in,Madagascar,extracted,operationalized rooted cutting technology in Madagascar
monitoring reporting verification,uses,TGEIS,extracted,system utilizes centralized digital platform TGEIS
food environment analysis,located_in,Colombia,extracted,analysis of food environments in Cauca and Putumayo regions
global goal on adaptation,part_of,UNFCCC,extracted,62 sessions of Subsidiary bodies of UNFCCC
indicator repository,addresses,climate change adaptation,extracted,acts as a curated knowledge base for tracking adaptation
Global Goal on Adaptation,uses,indicator repository,inferred,list of 490 indicators for tracking the Global Goal on Adaptation
Alliance of Bioversity International-CIAT,collaborates_with,OECD Climate Change Expert Group,extracted,event was moderated by the Alliance of Bioversity International-CIAT
